# wavelength, spectrum
2.247199999999999989e+02,1.509732256845511756e-05
2.252500000000000000e+02,1.564021885566619404e-05
2.257800000000000011e+02,5.435535727471180618e-05
2.263100000000000023e+02,5.815923734399087275e-05
2.268400000000000034e+02,9.854419152626511368e-06
2.273799999999999955e+02,1.584172439209199457e-04
2.279099999999999966e+02,4.625020177945343578e-05
2.284399999999999977e+02,-2.488954003468874584e-05
2.289699999999999989e+02,1.188596201147660501e-04
2.295000000000000000e+02,8.842617554257458658e-05
2.300300000000000011e+02,2.231766525322910786e-05
2.305600000000000023e+02,1.951307014114509039e-04
2.310999999999999943e+02,2.968365376067310665e-05
2.316299999999999955e+02,6.467276273400797220e-05
2.321599999999999966e+02,-1.714021937427700332e-04
2.326899999999999977e+02,-1.179687168879862497e-04
2.332199999999999989e+02,2.744905197022089573e-04
2.337500000000000000e+02,1.037338980418097437e-04
2.342800000000000011e+02,2.164087276368040192e-04
2.348100000000000023e+02,-2.426913199450954123e-05
2.353400000000000034e+02,9.765796392151243019e-06
2.358700000000000045e+02,-2.561592146732155628e-04
2.364000000000000057e+02,-1.696737716586904643e-04
2.369300000000000068e+02,1.283267017497307305e-04
2.374600000000000080e+02,-2.863395024808473266e-05
2.379900000000000091e+02,2.265986962405122933e-04
2.385099999999999909e+02,2.529935265032425560e-05
2.390399999999999920e+02,3.432526139500015143e-04
2.395699999999999932e+02,6.343588678218426943e-05
2.400999999999999943e+02,3.733280732370764925e-05
2.406299999999999955e+02,2.254684594104981862e-04
2.411599999999999966e+02,2.529446423324315096e-05
2.416899999999999977e+02,3.448022427653663454e-05
2.422100000000000080e+02,1.017953088656804923e-04
2.427400000000000091e+02,6.317392397517180213e-04
2.432700000000000102e+02,5.019134346299604843e-04
2.438000000000000114e+02,7.029706212499179643e-04
2.443300000000000125e+02,6.724933999297475493e-04
2.448499999999999943e+02,7.048102605141482813e-04
2.453799999999999955e+02,6.973487689145473544e-04
2.459099999999999966e+02,7.907670497267630175e-04
2.464399999999999977e+02,8.408470910759858726e-04
2.469600000000000080e+02,8.644792794078677480e-04
2.474900000000000091e+02,8.944468619757137010e-04
2.480200000000000102e+02,9.663300523844823306e-04
2.485399999999999920e+02,9.474709671300921097e-04
2.490699999999999932e+02,8.850494575472546985e-04
2.495999999999999943e+02,1.065205136741703956e-03
2.501200000000000045e+02,1.023509325843502491e-03
2.506500000000000057e+02,1.048607881522223284e-03
2.511800000000000068e+02,1.080586830151917827e-03
2.516999999999999886e+02,1.188942724828613703e-03
2.522299999999999898e+02,1.068601964470553955e-03
2.527500000000000000e+02,1.158273819110869872e-03
2.532800000000000011e+02,1.236905654214551405e-03
2.538000000000000114e+02,1.134317531168554808e-03
2.543300000000000125e+02,1.233740498534985092e-03
2.548600000000000136e+02,1.225043295900246458e-03
2.553799999999999955e+02,1.273533713399336654e-03
2.559099999999999966e+02,1.267133146927862603e-03
2.564300000000000068e+02,1.401932314974856141e-03
2.569499999999999886e+02,1.316036468724120960e-03
2.574800000000000182e+02,1.350252534300303139e-03
2.580000000000000000e+02,1.488647931769380029e-03
2.585299999999999727e+02,1.469708408400247340e-03
2.590500000000000114e+02,1.584691471529305236e-03
2.595799999999999841e+02,1.734052919889589881e-03
2.601000000000000227e+02,1.638701826380449100e-03
2.606200000000000045e+02,1.708453677685542417e-03
2.611499999999999773e+02,1.529166929428214068e-03
2.616700000000000159e+02,1.583516590859892137e-03
2.621899999999999977e+02,1.702706243904751225e-03
2.627200000000000273e+02,1.725923686825342777e-03
2.632400000000000091e+02,1.674715151908388443e-03
2.637599999999999909e+02,1.850318572988478164e-03
2.642900000000000205e+02,1.821863634571434633e-03
2.648100000000000023e+02,1.921111082546231004e-03
2.653299999999999841e+02,2.055510750065285899e-03
2.658600000000000136e+02,1.870277371584510391e-03
2.663799999999999955e+02,2.278064014335804462e-03
2.668999999999999773e+02,1.842264666804645061e-03
2.674200000000000159e+02,2.178558498982828724e-03
2.679399999999999977e+02,2.223015489951882511e-03
2.684700000000000273e+02,2.456775116507555791e-03
2.689900000000000091e+02,2.224967488265532176e-03
2.695099999999999909e+02,2.276171227496737171e-03
2.700299999999999727e+02,2.573325612671721954e-03
2.705500000000000114e+02,2.447049063889865372e-03
2.710699999999999932e+02,3.044634049529460016e-03
2.716000000000000227e+02,2.916347141673344620e-03
2.721200000000000045e+02,2.961217561705156275e-03
2.726399999999999864e+02,2.846778635169194046e-03
2.731600000000000250e+02,2.886203111913131485e-03
2.736800000000000068e+02,2.709192901613508269e-03
2.741999999999999886e+02,3.288029107048438295e-03
2.747200000000000273e+02,3.193301216870489834e-03
2.752400000000000091e+02,3.116398478970377941e-03
2.757599999999999909e+02,3.169959179325053476e-03
2.762799999999999727e+02,3.298880858792301290e-03
2.768000000000000114e+02,3.553039164265178306e-03
2.773199999999999932e+02,3.336706283662312436e-03
2.778399999999999750e+02,3.482613907241066849e-03
2.783600000000000136e+02,3.228179692103898355e-03
2.788799999999999955e+02,3.437045800848937196e-03
2.793999999999999773e+02,3.542742120428243099e-03
2.799200000000000159e+02,3.872317693613584223e-03
2.804399999999999977e+02,4.034074997157657133e-03
2.809499999999999886e+02,3.982239603376082869e-03
2.814700000000000273e+02,3.954286145019941801e-03
2.819900000000000091e+02,4.055764357083273437e-03
2.825099999999999909e+02,3.897923334869115262e-03
2.830299999999999727e+02,4.065006426574535592e-03
2.835500000000000114e+02,4.871446155273226331e-03
2.840699999999999932e+02,4.259704097412980034e-03
2.845799999999999841e+02,4.162356992197015389e-03
2.851000000000000227e+02,4.352295878491852996e-03
2.856200000000000045e+02,4.599657336990848472e-03
2.861399999999999864e+02,4.128627866203581250e-03
2.866499999999999773e+02,4.747854013477070291e-03
2.871700000000000159e+02,5.034163538777027685e-03
2.876899999999999977e+02,5.112511070642416534e-03
2.882099999999999795e+02,5.119388958283946009e-03
