# wavelength, spectrum
8.959199999999999591e+02,5.631366643534718719e-01
8.974800000000000182e+02,9.394243226433951488e-01
8.990499999999999545e+02,9.290810948513377188e-01
9.006100000000000136e+02,9.356800686125825717e-01
9.021699999999999591e+02,9.396694402992749051e-01
9.037300000000000182e+02,9.413222611076197399e-01
9.052999999999999545e+02,9.391940214320310121e-01
9.068600000000000136e+02,9.473974836286159773e-01
9.084199999999999591e+02,9.474050145766369502e-01
9.099800000000000182e+02,9.537746985713878578e-01
9.115499999999999545e+02,9.546320241665773310e-01
9.131100000000000136e+02,9.578428236383059735e-01
9.146699999999999591e+02,9.638819059380111520e-01
9.162400000000000091e+02,9.671773201691357125e-01
9.177999999999999545e+02,9.712963777568800472e-01
9.193700000000000045e+02,9.739495944738592037e-01
9.209299999999999500e+02,9.750909856374326834e-01
9.225000000000000000e+02,9.825333965823525029e-01
9.240599999999999454e+02,9.847346271066554912e-01
9.256200000000000045e+02,9.872474024322213104e-01
9.271900000000000546e+02,9.898390028735362112e-01
9.287599999999999909e+02,9.913556727779757605e-01
9.303200000000000500e+02,9.935249377049663044e-01
9.318899999999999864e+02,9.945625230910628556e-01
9.334500000000000455e+02,9.973736880859310761e-01
9.350199999999999818e+02,9.970728545891511807e-01
9.365800000000000409e+02,9.928942729557324043e-01
9.381499999999999773e+02,9.991316935233878205e-01
9.397200000000000273e+02,9.943807409704951139e-01
9.412799999999999727e+02,1.000000000000000000e+00
9.428500000000000227e+02,9.983618380578832552e-01
9.444099999999999682e+02,9.979169381374090042e-01
9.459800000000000182e+02,9.977767859574938614e-01
9.475499999999999545e+02,9.983672452219669591e-01
9.491200000000000045e+02,9.961561091672332946e-01
9.506799999999999500e+02,9.969098799394341404e-01
9.522500000000000000e+02,9.912895027339309051e-01
9.538200000000000500e+02,9.934407113105861997e-01
9.553899999999999864e+02,9.903433299744277551e-01
9.569500000000000455e+02,9.900098024107952810e-01
9.585199999999999818e+02,9.877477378567641741e-01
9.600900000000000318e+02,9.845349475072051604e-01
9.616599999999999682e+02,9.849719243614512010e-01
9.632300000000000182e+02,9.837867715548165304e-01
9.647999999999999545e+02,9.831755178446296428e-01
